Pin       Net Name                          
===       ========                          
J201.1    A15
J201.2    A14
J201.3    A13
J201.4    A12
J201.5    A11
J201.6    A10
J201.7    A9
J201.8    A8
J201.9    A7
J201.10   A6
J201.11   A5
J201.12   A4
J201.13   A3
J201.14   A2
J201.15   A1
J201.16   A0
J201.17   GND
J201.18   UNCONNECTED-(J201-PIN_18-PAD18)
J201.19   M1_N
J201.20   RESET_N
J201.21   CLK_PHI
J201.22   INT0_N
J201.23   MREQ_N
J201.24   WR_N
J201.25   RD_N
J201.26   IORQ_N
J201.27   D0
J201.28   D1
J201.29   D2
J201.30   D3
J201.31   D4
J201.32   D5
J201.33   D6
J201.34   D7
J201.35   UART1_TX
J201.36   UART1_RX
J201.37   DATA_DIR
J201.38   USER2
J201.39   USER3
J201.40   USER4
J201.41   MEM_OE_N
J201.42   MEM_CE_N
J201.43   MEM_WE_N
J201.44   USER44
J201.45   DREQ0_N
J201.46   TEND0_N
J201.47   DREQ1_N
J201.48   TEND1_N
J201.49   A23
J201.50   A22
J201.51   A21
J201.52   A20
J201.53   A19
J201.54   A18
J201.55   A17
J201.56   A16
J201.57   GND
J201.58   UNCONNECTED-(J201-PIN_58-PAD58)
J201.59   UNCONNECTED-(J201-PIN_59-PAD59)
J201.60   PAGE
J201.61   CLK_SRC
J201.62   BUSACK_N
J201.63   HALT_N
J201.64   BUSREQ_N
J201.65   WAIT_N
J201.66   NMI_N
J201.67   D8
J201.68   D9
J201.69   D10
J201.70   D11
J201.71   D12
J201.72   D13
J201.73   D14
J201.74   D15
J201.75   UART2_TX
J201.76   UART2_RX
J201.77   UNCONNECTED-(J201-PIN_77-PAD77)
J201.78   I2C_SCL
J201.79   I2C_SDA
J201.80   UNCONNECTED-(J201-PIN_80-PAD80)
