Comment,Designator,Footprint,LCSC,Quantity
100nF,"C202,C203,C207,C302,C306,C307,C308,C309,C310,C311,C314,C315,C318,C319,C402,C403,C406,C407,C410,C411,C505,C506,C507,C508,C509,C510,C511,C515,C516",C_0603_1608Metric,C14663,29
10K,"R301,R302,R303,R304,R305,R501,R502,R503",R_0603_1608Metric,C98220,8
2K32,"R505,R508",R_0603_1608Metric,C137749,2
4.7uF,"C201,C204,C205,C208,C303,C304,C305,C312,C313,C316,C317,C401,C404,C405,C408,C409,C412,C501,C503,C512,C513,C514,C517,C518",C_0603_1608Metric,C19666,24
5K1,"R506,R507",R_0603_1608Metric,C105580,2
"74AHC1G09GW,125",U502,SOT-353_SC-70-5,C730245,1
"74LVC1G38GW,125","U503,U504",SOT-353_SC-70-5,C548373,2
BLM21PG121SN1D,"FB1,FB501,FB502",L_0805_2012Metric,C79382,3
Conn_02x40_Top_Bottom,J203,PinSocket_2x40_P2.54mm_Horizontal_RCBUS80,C22385332,1
Conn_02x40_Top_Bottom,"J201,J202,J401,J402,J403",PinSocket_2x40_P2.54mm_Vertical_RCBUS80,C7500806,5
LED_LTST-S270KGKT,"D501,D502,D503",LTST-S270KGKT,C125113,3
SN74CBT3861PWR,U302,TSSOP-24_4.4x7.8mm_P0.65mm,C44508,1
SN74LVC8T245DBR,"U303,U304,U305,U306,U307",SSOP-24_5.3x8.2mm_P0.65mm,C19197,5
USB_C_Receptacle_USB2.0,J503,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321,1
