Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,4.7uF,C_0603_1608Metric,-28.194,-41.91,90.0,top
C202,100nF,C_0603_1608Metric,-26.67,-41.91,90.0,top
C203,100nF,C_0603_1608Metric,-19.05,-41.91,90.0,top
C204,4.7uF,C_0603_1608Metric,-17.526,-41.91,90.0,top
C205,4.7uF,C_0603_1608Metric,-14.478,-41.91,90.0,top
C207,100nF,C_0603_1608Metric,-11.43,-41.91,90.0,top
C208,4.7uF,C_0603_1608Metric,-12.954,-41.91,90.0,top
C302,100nF,C_0603_1608Metric,-37.96,-96.393,0.0,top
C303,4.7uF,C_0603_1608Metric,-38.1,-42.672,0.0,top
C304,4.7uF,C_0603_1608Metric,-38.1,-30.226,0.0,top
C305,4.7uF,C_0603_1608Metric,-38.1,-14.732,0.0,top
C306,100nF,C_0603_1608Metric,-38.1,-41.148,0.0,top
C307,100nF,C_0603_1608Metric,-38.1,-28.702,0.0,top
C308,100nF,C_0603_1608Metric,-38.1,-13.208,0.0,top
C309,100nF,C_0603_1608Metric,-33.02,-28.702,180.0,top
C310,100nF,C_0603_1608Metric,-33.02,-13.208,180.0,top
C311,100nF,C_0603_1608Metric,-33.02,-41.148,180.0,top
C312,4.7uF,C_0603_1608Metric,-32.639,-81.534,180.0,top
C313,4.7uF,C_0603_1608Metric,-32.639,-60.96,180.0,top
C314,100nF,C_0603_1608Metric,-32.639,-80.01,180.0,top
C315,100nF,C_0603_1608Metric,-32.639,-59.436,180.0,top
C316,4.7uF,C_0603_1608Metric,-38.494,-81.534,0.0,top
C317,4.7uF,C_0603_1608Metric,-38.468,-60.96,0.0,top
C318,100nF,C_0603_1608Metric,-38.494,-80.01,0.0,top
C319,100nF,C_0603_1608Metric,-38.468,-59.436,0.0,top
C401,4.7uF,C_0603_1608Metric,-73.406,-41.91,90.0,top
C402,100nF,C_0603_1608Metric,-74.93,-41.91,90.0,top
C403,100nF,C_0603_1608Metric,-82.55,-41.91,90.0,top
C404,4.7uF,C_0603_1608Metric,-84.074,-41.91,90.0,top
C405,4.7uF,C_0603_1608Metric,-68.834,-41.91,90.0,top
C406,100nF,C_0603_1608Metric,-67.31,-41.91,90.0,top
C407,100nF,C_0603_1608Metric,-59.69,-41.91,90.0,top
C408,4.7uF,C_0603_1608Metric,-58.166,-41.91,90.0,top
C409,4.7uF,C_0603_1608Metric,-53.594,-41.91,90.0,top
C410,100nF,C_0603_1608Metric,-52.07,-41.91,90.0,top
C411,100nF,C_0603_1608Metric,-44.45,-41.91,90.0,top
C412,4.7uF,C_0603_1608Metric,-42.926,-41.91,90.0,top
C501,4.7uF,C_0603_1608Metric,-94.361,-98.298,90.0,top
C503,4.7uF,C_0603_1608Metric,-94.422,-64.897,90.0,top
C505,100nF,C_0603_1608Metric,-94.996,-76.073,-90.0,top
C506,100nF,C_0603_1608Metric,-92.075,-76.835,0.0,top
C507,100nF,C_0603_1608Metric,-92.075,-70.231,180.0,top
C508,100nF,C_0603_1608Metric,-32.258,-85.471,-90.0,top
C509,100nF,C_0603_1608Metric,-92.898,-64.897,90.0,top
C510,100nF,C_0603_1608Metric,-83.82,-9.79575,0.0,top
C511,100nF,C_0603_1608Metric,-83.82,-15.113,0.0,top
C512,4.7uF,C_0603_1608Metric,-83.82,-16.637,0.0,top
C513,4.7uF,C_0603_1608Metric,-83.82,-18.161,0.0,top
C514,4.7uF,C_0603_1608Metric,-91.821,-29.464,0.0,top
C515,100nF,C_0603_1608Metric,-91.821,-27.94,0.0,top
C516,100nF,C_0603_1608Metric,-85.217,-27.94,180.0,top
C517,4.7uF,C_0603_1608Metric,-85.217,-29.464,180.0,top
C518,4.7uF,C_0603_1608Metric,-85.217,-30.988,180.0,top
D501,LED_LTST-S270KGKT,LTST-S270KGKT,-35.56,-99.187,180.0,top
D502,LED_LTST-S270KGKT,LTST-S270KGKT,-87.591,-99.187,180.0,top
D503,LED_LTST-S270KGKT,LTST-S270KGKT,-91.909,-99.187,180.0,top
FB1,BLM21PG121SN1D,L_0805_2012Metric,-96.139,-25.654,0.0,top
FB501,BLM21PG121SN1D,L_0805_2012Metric,-95.758,-1.143,90.0,top
FB502,BLM21PG121SN1D,L_0805_2012Metric,-84.455,-12.46275,-90.0,top
J201,Conn_02x40_Top_Bottom,PinSocket_2x40_P2.54mm_Vertical_RCBUS80,-22.86,-49.53,90.0,top
J202,Conn_02x40_Top_Bottom,PinSocket_2x40_P2.54mm_Vertical_RCBUS80,-7.62,-49.53,90.0,top
J203,Conn_02x40_Top_Bottom,PinSocket_2x40_P2.54mm_Horizontal_RCBUS80,-1.27,-49.53,90.0,top
J401,Conn_02x40_Top_Bottom,PinSocket_2x40_P2.54mm_Vertical_RCBUS80,-78.74,-49.53,90.0,top
J402,Conn_02x40_Top_Bottom,PinSocket_2x40_P2.54mm_Vertical_RCBUS80,-63.5,-49.53,90.0,top
J403,Conn_02x40_Top_Bottom,PinSocket_2x40_P2.54mm_Vertical_RCBUS80,-48.26,-49.53,90.0,top
J503,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-89.281,-4.127,180.0,top
R301,10K,R_0603_1608Metric,-33.02,-30.226,0.0,top
R302,10K,R_0603_1608Metric,-33.02,-14.732,0.0,top
R303,10K,R_0603_1608Metric,-33.02,-42.672,0.0,top
R304,10K,R_0603_1608Metric,-29.591,-60.198,-90.0,top
R305,10K,R_0603_1608Metric,-29.464,-80.772,90.0,top
R501,10K,R_0603_1608Metric,-89.027,-76.835,0.0,top
R502,10K,R_0603_1608Metric,-37.266,-85.471,90.0,top
R503,10K,R_0603_1608Metric,-92.909,-67.979,90.0,top
R505,2K32,R_0603_1608Metric,-87.591,-97.536,0.0,top
R506,5K1,R_0603_1608Metric,-95.631,-5.715,-90.0,top
R507,5K1,R_0603_1608Metric,-97.155,-5.715,-90.0,top
R508,2K32,R_0603_1608Metric,-91.909,-97.536,180.0,top
U302,SN74CBT3861PWR,TSSOP-24_4.4x7.8mm_P0.65mm,-35.56,-91.44,90.0,top
U303,SN74LVC8T245DBR,SSOP-24_5.3x8.2mm_P0.65mm,-35.56,-23.622,90.0,top
U304,SN74LVC8T245DBR,SSOP-24_5.3x8.2mm_P0.65mm,-35.56,-8.128,90.0,top
U305,SN74LVC8T245DBR,SSOP-24_5.3x8.2mm_P0.65mm,-35.56,-36.068,90.0,top
U306,SN74LVC8T245DBR,SSOP-24_5.3x8.2mm_P0.65mm,-35.56,-54.356,90.0,top
U307,SN74LVC8T245DBR,SSOP-24_5.3x8.2mm_P0.65mm,-35.56,-74.93,90.0,top
U502,"74AHC1G09GW,125",SOT-353_SC-70-5,-90.485,-67.945,0.0,top
U503,"74LVC1G38GW,125",SOT-353_SC-70-5,-34.798,-85.472,90.0,top
U504,"74LVC1G38GW,125",SOT-353_SC-70-5,-90.546,-64.882,90.0,top
