"Reference","Value","Qty","DNP","Digikey","LCSC Part #","MPN","Manufacturer","Description"
"C201,C202,C301,C304,C305,C307,C308,C309,C310,C311,C312","100nF","11","","311-1344-1-ND","C14663","CC0603KRX7R9BB104","YAGEO","CAP CER 0.1UF 50V X7R 0603"
"R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R320,R321,R322,R323","10K","23","","311-10.0KHRCT-ND","C98220","RC0603FR-0710KL","Yaego","RES 10K OHM 1% 1/10W 0603"
"R206,R207","0R","2","DNP","311-0.0GRCT-ND","C95177","RC0603JR-070RL","Yaego","RES 0 OHM 5% 1/10W 0603"
"R203,R326,R327,R328,R329,R330","1K00","6","","311-1.00KHRCT-ND","C22548","RC0603FR-071KL","Yaego","RES 1K OHM 1% 1/10W 0603"
"R202,R205,R208","0R","3","","311-0.0GRCT-ND","C95177","RC0603JR-070RL","Yaego","RES 0 OHM 5% 1/10W 0603"
"R201,R324,R325","33R","3","","13-RC0603FR-0733RLCT-ND","C108661","RC0603FR-0733RL","Yaego","RES 33 OHM 1% 1/10W 0603"
"C203,C204,C302,C303,C306","4.7uF","5","","1276-1784-1-ND","C19666","CL10A475KO8NNNC","Yaego","CAP CER 4.7UF 16V X5R 0603"
"U303","74LVC2G07","1","","1727-4121-1-ND","C24478","74LVC2G07GW,125","Nexperia","IC BUFF NON-INVERT 5.5V 6-TSSOP"
"U201","74LVC2G34","1","","1727-4219-1-ND","","74LVC2G34GW,125","Nexperia","IC BUFF NON-INVERT 5.5V 6-TSSOP"
"U302","MC68SEC000FU","1","","","","MC68SEC000FU20","Motorola","16/32-bit microprocessor, 16-bit external data bus, 23-bit external address bus (effectively 24-bit), QFP64"
"U305","SST39SF040-55","1","","SST39LF040-55-4C-NHE-ND","C645927","SST39LF040-55-4C-NHE","Microchip","IC FLASH 4MBIT 512KX8 PARALLEL 3V3 55ns PLCC32"
"D301,D302,D303,D304,D305","LED_LTST-S270KGKT","5","","160-1478-1-ND","C125113","LTST-S270KGKT","Lite-On Inc.","LED 571NM GREEN CLEAR CHIP 0603 R/A"
"U304","74LVC3G06","1","","31-74LVC3G06SS8-7CT-ND","C6089410","74LVC3G06SS8-7","Diodes Incorporated","IC INVERTER 3CH 3-INP 8SSOP"
"U301","DS1086LU+","1","","DS1086LU+-ND","C1519863","DS1086LU+","Analog Devices Inc./Maxim Integrated","IC I2C SS CLOCK GENERATOR uSOP8"
"J202,J301","Conn_02x03","2","","2057-PH2-06-UA-ND","","PH2-06-UA","Adam Tech","CONN HEADER VERT 6POS 2.54MM"
"J201","Conn_02x40_Top_Bottom","1","","2057-PH2RA-80-UA-ND","","PH2RA-80-UA","Adam Tech","CONN HEADER R/A 80POS 2.54MM"
"H1,H2,H3,H4,H5","MountingHole","5","","","","","",""
