Pin       Net Name                          
===       ========                          
J201.1    CPU_A15
J201.2    CPU_A14
J201.3    CPU_A13
J201.4    CPU_A12
J201.5    CPU_A11
J201.6    CPU_A10
J201.7    CPU_A9
J201.8    CPU_A8
J201.9    CPU_A7
J201.10   CPU_A6
J201.11   CPU_A5
J201.12   CPU_A4
J201.13   CPU_A3
J201.14   CPU_A2
J201.15   CPU_A1
J201.16   CPU_A0
J201.17   GND
J201.18   +3.3V
J201.19   CPU_AS_N
J201.20   CPU_RESET_N
J201.21   CPU_CLOCK_PHI
J201.22   CPU_LDS_N
J201.23   CPU_RW_N
J201.24   CPU_WR_N
J201.25   CPU_RD_N
J201.26   UNCONNECTED-(J201-PIN_26-PAD26)
J201.27   CPU_D0
J201.28   CPU_D1
J201.29   CPU_D2
J201.30   CPU_D3
J201.31   CPU_D4
J201.32   CPU_D5
J201.33   CPU_D6
J201.34   CPU_D7
J201.35   CPU_FC0
J201.36   CPU_FC1
J201.37   UNCONNECTED-(J201-PIN_37-PAD37)
J201.38   UNCONNECTED-(J201-PIN_38-PAD38)
J201.39   UNCONNECTED-(J201-PIN_39-PAD39)
J201.40   UNCONNECTED-(J201-PIN_40-PAD40)
J201.41   UNCONNECTED-(J201-PIN_41-PAD41)
J201.42   UNCONNECTED-(J201-PIN_42-PAD42)
J201.43   UNCONNECTED-(J201-PIN_43-PAD43)
J201.44   GND
J201.45   UNCONNECTED-(J201-PIN_45-PAD45)
J201.46   UNCONNECTED-(J201-PIN_46-PAD46)
J201.47   RC_AVEC_N
J201.48   FLASH_CE_N
J201.49   CPU_A23
J201.50   CPU_A22
J201.51   RC_CPU_A21
J201.52   CPU_A20
J201.53   CPU_A19
J201.54   CPU_A18
J201.55   CPU_A17
J201.56   CPU_A16
J201.57   GND
J201.58   +3.3V
J201.59   UNCONNECTED-(J201-PIN_59-PAD59)
J201.60   UNCONNECTED-(J201-PIN_60-PAD60)
J201.61   CPU_CLOCK_SRC
J201.62   CPU_BG_N
J201.63   CPU_HALT_N
J201.64   CPU_BR_N
J201.65   CPU_DTACK_N
J201.66   CPU_BERR_N
J201.67   UNCONNECTED-(J201-PIN_67-PAD67)
J201.68   UNCONNECTED-(J201-PIN_68-PAD68)
J201.69   UNCONNECTED-(J201-PIN_69-PAD69)
J201.70   UNCONNECTED-(J201-PIN_70-PAD70)
J201.71   UNCONNECTED-(J201-PIN_71-PAD71)
J201.72   UNCONNECTED-(J201-PIN_72-PAD72)
J201.73   UNCONNECTED-(J201-PIN_73-PAD73)
J201.74   GND
J201.75   CPU_IPL0_N
J201.76   CPU_IPL1_N
J201.77   UNCONNECTED-(J201-PIN_77-PAD77)
J201.78   CPU_IPL2_N
J201.79   CPU_FC2
J201.80   UNCONNECTED-(J201-PIN_80-PAD80)
