Pin       Net Name                          
===       ========                          
U302.1    CPU_RW_N
U302.2    CPU_DTACK_N
U302.3    CPU_BG_N
U302.4    CPU_BR_N
U302.5    +3.3V
U302.6    CLOCK_CPU
U302.7    GND
U302.8    CPU_MODE_8BIT
U302.9    CPU_HALT_N
U302.10   CPU_RESET_N
U302.11   CPU_AVEC_N
U302.12   CPU_BERR_N
U302.13   CPU_IPL2_N
U302.14   CPU_IPL1_N
U302.15   CPU_IPL0_N
U302.16   CPU_FC2
U302.17   CPU_FC1
U302.18   CPU_FC0
U302.19   CPU_A0
U302.20   CPU_A1
U302.21   CPU_A2
U302.22   CPU_A3
U302.23   GND
U302.24   CPU_A4
U302.25   CPU_A5
U302.26   CPU_A6
U302.27   CPU_A7
U302.28   CPU_A8
U302.29   CPU_A9
U302.30   CPU_A10
U302.31   CPU_A11
U302.32   CPU_A12
U302.33   CPU_A13
U302.34   CPU_A14
U302.35   CPU_A15
U302.36   CPU_A16
U302.37   CPU_A17
U302.38   CPU_A18
U302.39   CPU_A19
U302.40   CPU_A20
U302.41   +3.3V
U302.42   CPU_A21
U302.43   CPU_A22
U302.44   CPU_A23
U302.45   UNCONNECTED-(U302-D15-PAD45)
U302.46   UNCONNECTED-(U302-D14-PAD46)
U302.47   UNCONNECTED-(U302-D13-PAD47)
U302.48   UNCONNECTED-(U302-D12-PAD48)
U302.49   UNCONNECTED-(U302-D11-PAD49)
U302.50   UNCONNECTED-(U302-D10-PAD50)
U302.51   UNCONNECTED-(U302-D9-PAD51)
U302.52   UNCONNECTED-(U302-D8-PAD52)
U302.53   CPU_D7
U302.54   CPU_D6
U302.55   CPU_D5
U302.56   GND
U302.57   CPU_D4
U302.58   CPU_D3
U302.59   CPU_D2
U302.60   CPU_D1
U302.61   CPU_D0
U302.62   CPU_AS_N
U302.63   UNCONNECTED-(U302-~{UDS}-PAD63)
U302.64   CPU_LDS_N
