Pin       Net Name     
===       ========     
U305.1    CPU_A18
U305.2    CPU_A16
U305.3    CPU_A15
U305.4    CPU_A12
U305.5    CPU_A7
U305.6    CPU_A6
U305.7    CPU_A5
U305.8    CPU_A4
U305.9    CPU_A3
U305.10   CPU_A2
U305.11   CPU_A1
U305.12   CPU_A0
U305.13   CPU_D0
U305.14   CPU_D1
U305.15   CPU_D2
U305.16   GND
U305.17   CPU_D3
U305.18   CPU_D4
U305.19   CPU_D5
U305.20   CPU_D6
U305.21   CPU_D7
U305.22   FLASH_CE_N
U305.23   CPU_A10
U305.24   CPU_RD_N
U305.25   CPU_A11
U305.26   CPU_A9
U305.27   CPU_A8
U305.28   CPU_A13
U305.29   CPU_A14
U305.30   CPU_A17
U305.31   CPU_WR_N
U305.32   +3.3V
